Symbol,Particular,080-081Q3,080-081Q4,081-082Q1,081-082Q2,081-082Q3,081-082Q4,082-083Q1,082-083Q2,080-081Q2,082-083Q3,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over,082-083Q4
BBC,,,,,,,,,,,,2026-07-14,4053.7,4128.0,4021.1,4128.0,1.43 %,240.00,"977,466.00",
BBC,,,,,,,,,,,,2026-07-13,4091.0,4148.0,4055.0,4070.0,-2.35 %,272.00,"1,109,267.00",
BBC,,,,,,,,,,,,2026-07-10,4195.0,4198.9,4100.0,4168.0,1.63 %,205.00,"847,833.00",
BBC,,,,,,,,,,,,2026-07-09,4115.0,4194.0,4101.0,4101.0,-2.70 %,155.00,"638,956.00",
BBC,,,,,,,,,,,,2026-07-08,4112.0,4235.0,4112.0,4215.0,-0.19 %,223.00,"928,016.00",
BBC,,,,,,,,,,,,2026-07-07,4238.0,4238.0,4150.0,4223.0,2.10 %,623.00,"2,618,055.00",
BBC,,,,,,,,,,,,2026-07-06,4192.0,4263.9,4136.0,4136.0,-3.50 %,351.00,"1,472,100.00",
BBC,,,,,,,,,,,,2026-07-03,4298.9,4298.9,4201.0,4286.0,0.61 %,127.00,"541,756.50",
BBC,,,,,,,,,,,,2026-07-02,4160.3,4277.0,4160.3,4260.0,-0.44 %,150.00,"633,797.00",
BBC,,,,,,,,,,,,2026-07-01,4234.9,4280.0,4126.1,4279.0,2.81 %,375.00,"1,581,014.00",
BBC,,,,,,,,,,,,2026-06-30,4141.0,4261.0,4141.0,4162.0,-2.00 %,193.00,"809,019.00",
BBC,,,,,,,,,,,,2026-06-29,4279.9,4280.0,4155.0,4246.9,-0.31 %,211.00,"891,927.00",
BBC,,,,,,,,,,,,2026-06-26,4290.0,4293.0,4190.0,4260.0,1.43 %,254.00,"1,076,835.00",
BBC,,,,,,,,,,,,2026-06-25,4298.0,4333.0,4185.2,4200.0,-2.28 %,200.00,"851,301.00",
BBC,,,,,,,,,,,,2026-06-24,4123.0,4480.0,4123.0,4298.0,1.13 %,602.00,"2,545,612.00",
BBC,,,,,,,,,,,,2026-06-23,4250.0,4345.0,4220.5,4250.1,-1.73 %,280.00,"1,202,143.00",
BBC,,,,,,,,,,,,2026-06-22,4349.0,4349.0,4191.1,4325.0,0.93 %,694.00,"2,983,695.00",
BBC,,,,,,,,,,,,2026-06-19,4285.0,4300.0,4181.0,4285.0,0.73 %,496.00,"2,098,780.40",
BBC,,,,,,,,,,,,2026-06-18,4270.0,4270.0,4175.0,4254.0,0.33 %,348.00,"1,468,325.00",
